"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 06 13:09:09 GMT 2021","Fri Aug 06 13:09:15 GMT 2021","5986","vizsgaremek","tc05_add_database_test","","","","test_add_database",""
"passed","Fri Aug 06 13:08:57 GMT 2021","Fri Aug 06 13:09:09 GMT 2021","12164","vizsgaremek","tc04_paging_test","","","","test_paging",""
"failed","Fri Aug 06 13:08:43 GMT 2021","Fri Aug 06 13:08:57 GMT 2021","13612","vizsgaremek","tc03_manage_data_test","","","","test_add_data",""
"passed","Fri Aug 06 13:09:15 GMT 2021","Fri Aug 06 13:09:24 GMT 2021","9169","vizsgaremek","tc06_save_data_test","","","","test_save_data",""
"passed","Fri Aug 06 13:08:35 GMT 2021","Fri Aug 06 13:08:43 GMT 2021","7932","vizsgaremek","tc02_signinout_test","","","","test_signinout",""
"passed","Fri Aug 06 13:08:21 GMT 2021","Fri Aug 06 13:08:35 GMT 2021","13750","vizsgaremek","tc01_registration_test","","","","test_registration",""
