"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 06 13:05:35 GMT 2021","Fri Aug 06 13:05:48 GMT 2021","12848","vizsgaremek","tc04_paging_test","","","","test_paging",""
"passed","Fri Aug 06 13:04:51 GMT 2021","Fri Aug 06 13:05:01 GMT 2021","9993","vizsgaremek","tc02_signinout_test","","","","test_signinout",""
"passed","Fri Aug 06 13:05:48 GMT 2021","Fri Aug 06 13:06:11 GMT 2021","22860","vizsgaremek","tc05_add_database_test","","","","test_add_database",""
"passed","Fri Aug 06 13:05:01 GMT 2021","Fri Aug 06 13:05:35 GMT 2021","34179","vizsgaremek","tc03_manage_data_test","","","","test_add_data",""
"passed","Fri Aug 06 13:04:42 GMT 2021","Fri Aug 06 13:04:51 GMT 2021","9061","vizsgaremek","tc01_registration_test","","","","test_registration",""
"passed","Fri Aug 06 13:06:11 GMT 2021","Fri Aug 06 13:06:22 GMT 2021","11227","vizsgaremek","tc06_save_data_test","","","","test_save_data",""
