"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 27 18:38:21 GMT 2021","Tue Jul 27 18:38:46 GMT 2021","25069","vizsgaremek","tc05_add_database_test","","","","test_add_database",""
"passed","Tue Jul 27 18:37:28 GMT 2021","Tue Jul 27 18:37:41 GMT 2021","13146","vizsgaremek","tc01_registration_test","","","","test_registration",""
"passed","Tue Jul 27 18:38:46 GMT 2021","Tue Jul 27 18:38:55 GMT 2021","9138","vizsgaremek","tc06_save_data_test","","","","test_save_data",""
"passed","Tue Jul 27 18:37:41 GMT 2021","Tue Jul 27 18:37:49 GMT 2021","7886","vizsgaremek","tc02_signinout_test","","","","test_signinout",""
"passed","Tue Jul 27 18:38:09 GMT 2021","Tue Jul 27 18:38:21 GMT 2021","12077","vizsgaremek","tc04_paging_test","","","","test_paging",""
"passed","Tue Jul 27 18:37:49 GMT 2021","Tue Jul 27 18:38:09 GMT 2021","19951","vizsgaremek","tc03_manage_data_test","","","","test_add_data",""
