"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 27 18:30:09 GMT 2021","Tue Jul 27 18:30:15 GMT 2021","6142","vizsgaremek","tc05_add_database_test","","","","test_add_database",""
"passed","Tue Jul 27 18:29:29 GMT 2021","Tue Jul 27 18:29:37 GMT 2021","8024","vizsgaremek","tc02_signinout_test","","","","test_signinout",""
"passed","Tue Jul 27 18:29:11 GMT 2021","Tue Jul 27 18:29:29 GMT 2021","17141","vizsgaremek","tc01_registration_test","","","","test_registration",""
"passed","Tue Jul 27 18:29:57 GMT 2021","Tue Jul 27 18:30:09 GMT 2021","12328","vizsgaremek","tc04_paging_test","","","","test_paging",""
"passed","Tue Jul 27 18:30:15 GMT 2021","Tue Jul 27 18:30:24 GMT 2021","9161","vizsgaremek","tc06_save_data_test","","","","test_save_data",""
"passed","Tue Jul 27 18:29:37 GMT 2021","Tue Jul 27 18:29:57 GMT 2021","20200","vizsgaremek","tc03_manage_data_test","","","","test_add_data",""
