"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 26 08:27:36 GMT 2021","Mon Jul 26 08:27:36 GMT 2021","90","vizsgaremek","tc01_registration_test","","","","test_registration",""
"broken","Mon Jul 26 08:27:36 GMT 2021","Mon Jul 26 08:27:36 GMT 2021","0","vizsgaremek","tc06_save_data_test","","","","test_save_data",""
"broken","Mon Jul 26 08:27:36 GMT 2021","Mon Jul 26 08:27:36 GMT 2021","0","vizsgaremek","tc02_signinout_test","","","","test_signinout",""
"broken","Mon Jul 26 08:27:36 GMT 2021","Mon Jul 26 08:27:36 GMT 2021","0","vizsgaremek","tc05_add_database_test","","","","test_add_database",""
"broken","Mon Jul 26 08:27:36 GMT 2021","Mon Jul 26 08:27:36 GMT 2021","1","vizsgaremek","tc04_paging_test","","","","test_paging",""
"broken","Mon Jul 26 08:27:36 GMT 2021","Mon Jul 26 08:27:36 GMT 2021","0","vizsgaremek","tc03_manage_data_test","","","","test_add_data",""
