"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 06:32:52 GMT 2021","Wed Aug 11 06:33:06 GMT 2021","13989","vizsgaremek","tc02_signinout_test","","","","test_signinout",""
"passed","Wed Aug 11 06:32:40 GMT 2021","Wed Aug 11 06:32:52 GMT 2021","12436","vizsgaremek","tc01_registration_test","","","","test_registration",""
"passed","Wed Aug 11 06:33:06 GMT 2021","Wed Aug 11 06:33:36 GMT 2021","29981","vizsgaremek","tc03_manage_data_test","","","","test_add_data",""
"passed","Wed Aug 11 06:33:47 GMT 2021","Wed Aug 11 06:34:10 GMT 2021","22690","vizsgaremek","tc05_add_database_test","","","","test_add_database",""
"passed","Wed Aug 11 06:34:10 GMT 2021","Wed Aug 11 06:34:20 GMT 2021","10092","vizsgaremek","tc06_save_data_test","","","","test_save_data",""
"passed","Wed Aug 11 06:33:36 GMT 2021","Wed Aug 11 06:33:47 GMT 2021","11117","vizsgaremek","tc04_paging_test","","","","test_paging",""
